keyword,risk_level,occurrences,reason,source
carding,CRITICAL,1497,Credit card fraud - criminal activity,CSV analysis
fullz,CRITICAL,1224,"Complete identity package (SSN, DOB, address) - enables identity theft",CSV analysis
cashout,CRITICAL,781,Converting stolen data to cash - active fraud process,CSV analysis
scampages,CRITICAL,694,critical risk indicator,CSV analysis
tracking,CRITICAL,648,critical risk indicator,CSV analysis
fraud,CRITICAL,602,Deceptive practices - financial crime,CSV analysis
stealth,CRITICAL,602,critical risk indicator,CSV analysis
counterfeit,CRITICAL,477,Fake items - fraud,CSV analysis
clone,CRITICAL,400,critical risk indicator,CSV analysis
fake,CRITICAL,392,Counterfeit items - deception,CSV analysis
hacking,CRITICAL,384,critical risk indicator,CSV analysis
hack,CRITICAL,366,Breaking into systems - unauthorized access,CSV analysis
crack,CRITICAL,329,Breaking security measures - system compromise,CSV analysis
tracked,CRITICAL,251,critical risk indicator,CSV analysis
cracked,CRITICAL,220,critical risk indicator,CSV analysis
hacks,CRITICAL,217,critical risk indicator,CSV analysis
hacked,CRITICAL,213,critical risk indicator,CSV analysis
stealer,CRITICAL,199,critical risk indicator,CSV analysis
fakemoney,CRITICAL,194,critical risk indicator,CSV analysis
fraudfox,CRITICAL,192,critical risk indicator,CSV analysis
counterfeiting,CRITICAL,184,critical risk indicator,CSV analysis
scam,CRITICAL,182,Deceptive schemes - fraud,CSV analysis
dumps,CRITICAL,175,Magnetic stripe data from physical cards - enables card cloning,CSV analysis
treatment,CRITICAL,170,critical risk indicator,CSV analysis
scamers,CRITICAL,170,critical risk indicator,CSV analysis
carder,CRITICAL,166,Credit card fraudster - criminal,CSV analysis
copy,CRITICAL,139,Replicated items - fraud,CSV analysis
hackers,CRITICAL,138,critical risk indicator,CSV analysis
track,CRITICAL,125,Magnetic track data - card cloning,CSV analysis
stripe,CRITICAL,118,Magnetic stripe - card cloning,CSV analysis
atm,CRITICAL,118,ATM access - cash withdrawal,CSV analysis
scamming,CRITICAL,105,critical risk indicator,CSV analysis
cracking,CRITICAL,105,critical risk indicator,CSV analysis
leaked,CRITICAL,85,critical risk indicator,CSV analysis
scams,CRITICAL,80,critical risk indicator,CSV analysis
exploit,CRITICAL,78,Using vulnerabilities - system attacks,CSV analysis
hackpack,CRITICAL,76,critical risk indicator,CSV analysis
chipotle,CRITICAL,75,critical risk indicator,CSV analysis
zopiclone,CRITICAL,74,critical risk indicator,CSV analysis
hacker,CRITICAL,57,System intruder - criminal,CSV analysis
batman,CRITICAL,56,critical risk indicator,CSV analysis
scammers,CRITICAL,48,critical risk indicator,CSV analysis
scampage,CRITICAL,47,critical risk indicator,CSV analysis
untracked,CRITICAL,45,critical risk indicator,CSV analysis
carders,CRITICAL,42,critical risk indicator,CSV analysis
withdrawal,CRITICAL,41,critical risk indicator,CSV analysis
steal,CRITICAL,40,Taking without permission - theft,CSV analysis
magnetic,CRITICAL,38,Stripe data - card cloning,CSV analysis
emv,CRITICAL,34,Chip card technology - advanced fraud,CSV analysis
cracker,CRITICAL,32,Security breaker - criminal,CSV analysis
fraudster,CRITICAL,31,critical risk indicator,CSV analysis
replicate,CRITICAL,27,critical risk indicator,CSV analysis
withdraw,CRITICAL,24,Cash withdrawal - fraud,CSV analysis
cashoutmoneyteam,CRITICAL,24,critical risk indicator,CSV analysis
replica,CRITICAL,24,Fake copies - fraud,CSV analysis
fraudbuddy,CRITICAL,23,critical risk indicator,CSV analysis
tracks,CRITICAL,22,critical risk indicator,CSV analysis
stealthy,CRITICAL,20,critical risk indicator,CSV analysis
scammed,CRITICAL,18,critical risk indicator,CSV analysis
exploits,CRITICAL,17,critical risk indicator,CSV analysis
replicas,CRITICAL,16,critical risk indicator,CSV analysis
dumper,CRITICAL,15,Card data seller - criminal,CSV analysis
scammer,CRITICAL,15,critical risk indicator,CSV analysis
crackers,CRITICAL,15,critical risk indicator,CSV analysis
antifraud,CRITICAL,14,critical risk indicator,CSV analysis
fakes,CRITICAL,13,critical risk indicator,CSV analysis
cracks,CRITICAL,11,critical risk indicator,CSV analysis
exploitation,CRITICAL,11,critical risk indicator,CSV analysis
transfer,CRITICAL,10,Money transfer - fraud,data/sites analysis
